stop_lat,stop_name,stop_id,the_geom,stop_lon
-35.464855,Tom Roberts Av Conder Primary School,1223,POINT (149.09797700023327 -35.46485499933369),149.097977
-35.464989,Pockett Av after Bastow Cct,1224,POINT (149.09394800023006 -35.46498899933378),149.093948
-35.46759,Pockett Av after Tregellas Cr,1225,POINT (149.0952760002311 -35.46758999933348),149.095276
-35.470394,Pockett Av 2nd after Brockway Cct,1226,POINT (149.0976560002331 -35.47039399933311),149.097656
-35.472431,Pockett Av Banks Shops,1227,POINT (149.0959470002317 -35.47243099933295),149.095947
-35.473495,Pockett Av after Tharwa Dr,1228,POINT (149.09173600022828 -35.47349499933295),149.091736
-35.472851,Knoke Av after Coventry Cl,1229,POINT (149.08944700022644 -35.47285099933307),149.089447
-35.470764,Knoke Av after Minnett Cl,1230,POINT (149.08889800022598 -35.470763999333286),149.088898
-35.470875,Knoke Av 2nd after Harry Hopman Cct,1231,POINT (149.08879100022588 -35.47087499933329),149.088791
-35.467175,Knoke Av after Matson St,1232,POINT (149.087677000225 -35.4671749993337),149.087677
-35.465672,Knoke Av after Travers St,1233,POINT (149.08558700022328 -35.465671999333914),149.085587
-35.461983,Knoke Av after Cornforth St,1234,POINT (149.08364900022173 -35.46198299933433),149.083649
-35.460663,Knoke Av after Midge St,1235,POINT (149.08572400022337 -35.460662999334424),149.085724
-35.452995,Lewis Luxton Av after Woodcock Dr,1237,POINT (149.0873410002246 -35.45299499933519),149.087341
-35.450897,Lewis Luxton Av after 2nd Cerutty Cr,1238,POINT (149.0893400002262 -35.450896999335356),149.08934
-35.448734,Lewis Luxton Av after Mackney Pl,1239,POINT (149.08714300022442 -35.44873399933564),149.087143
-35.448162,Preddy Wy after Lewis Luxton Av,1240,POINT (149.08419800022207 -35.44816199933578),149.084198
-35.446545,Clare Dennis Av after Noel Ryan Gdn,1241,POINT (149.0854490002231 -35.446544999335906),149.085449
-35.444641,Clare Dennis Av after 2nd Noel Ryan Gdn,1242,POINT (149.08717300022442 -35.44464099933605),149.087173
-35.443119,Clare Dennis Av after Woodfull Lp,1243,POINT (149.08584600022334 -35.44311899933624),149.085846
-35.428791,Barr Smith Av before Drakeford Dr,1244,POINT (149.08219900022038 -35.428790999337835),149.082199
-35.428825,Barr Smith Av after Drakeford Dr,1245,POINT (149.08236700022053 -35.42882499933782),149.082367
-35.340843,Brierly St Cooleman Ct Plt1,1246,POINT (149.05233800019744 -35.340842999347615),149.052338
-35.340981,Streeton Dr before Hindmarsh Dr,1247,POINT (149.05027800019596 -35.340980999347636),149.050278
-35.344681,Streeton Dr after Hindmarsh Dr,1248,POINT (149.04708900019375 -35.344680999347325),149.047089
-35.344612,Streeton Dr South of Hindmarsh Dr,1249,POINT (149.04704300019372 -35.34461199934733),149.047043
-35.346409,Fremantle Dr after Streeton Dr,1250,POINT (149.04693600019363 -35.34640899934713),149.046936
-35.3466,Fremantle Dr before Streeton Dr,1251,POINT (149.04704300019372 -35.346599999347134),149.047043
-35.348286,Fremantle Dr after 2nd McKail Cr,1252,POINT (149.04924000019528 -35.3482859993469),149.04924
-35.347359,Fremantle Dr 3rd after Crowder Cct,1253,POINT (149.04818700019456 -35.34735899934702),149.048187
-35.352146,Namatjira Dr opp St John Vianney,1258,POINT (149.05375700019852 -35.3521459993464),149.053757
-35.355186,Namatjira Dr Northbound after Streeton Dr,1259,POINT (149.0504910001962 -35.35518599934617),149.050491
-35.351921,Namatjira Dr St John Vianney,1260,POINT (149.05415300019885 -35.351920999346405),149.054153
-35.46656,Tom Roberts before McLuckie Cr,1261,POINT (149.10051000023543 -35.46655999933345),149.10051
-35.469933,Wiburd St before Pockett Av,1262,POINT (149.0986630002339 -35.469932999333146),149.098663
-35.355114,Namatjira Dr after Badimara St,1263,POINT (149.0507970001964 -35.35511399934616),149.050797
-35.358479,Namatjira Dr Southbound after Streeton Dr,1264,POINT (149.04792800019442 -35.35847899934588),149.047928
-35.360592,Namatjira Dr before Kapunda St,1265,POINT (149.04780600019433 -35.36059199934566),149.047806
-35.363483,Namatjira Dr after Kapunda St,1266,POINT (149.04971300019568 -35.36348299934533),149.049713
-35.366089,Namatjira Dr 2nd after Kapunda St,1267,POINT (149.051514000197 -35.36608899934502),149.051514
-35.366009,Namatjira Dr 2nd before Drakeford Dr,1268,POINT (149.05136100019692 -35.36600899934502),149.051361
-35.358208,Namatjira Dr after Perry Dr,1269,POINT (149.04788200019436 -35.35820799934591),149.047882
-35.360443,Namatjira Dr after Kapunda St,1270,POINT (149.0476530001942 -35.36044299934568),149.047653
-35.36356,Namatjira Dr 3rd from Drakeford Dr,1271,POINT (149.04960600019564 -35.363559999345306),149.049606
-35.375137,Kambah Pool Rd after Namatjira Dr,1272,POINT (149.04896500019527 -35.37513699934415),149.048965
-35.37534,Kambah Pool Rd after Barritt St,1273,POINT (149.04861500019499 -35.37533999934413),149.048615
-35.377991,Barritt St after Kambah Pool Rd,1274,POINT (149.04837000019484 -35.37799099934385),149.04837
-35.378094,Barritt St before Kambah Pool Rd,1275,POINT (149.04829400019477 -35.37809399934385),149.048294
-35.380211,Barritt St after Bacchus Cct,1276,POINT (149.0518650001973 -35.380210999343554),149.051865
-35.37986,Barritt St after Boddington Cr,1277,POINT (149.05119300019686 -35.3798599993436),149.051193
-35.38121,Boddington Cr 2nd after Carleton St,1278,POINT (149.05177300019727 -35.38120999934346),149.051773
-35.382092,Boddington Cr after Carleton St,1279,POINT (149.0511470001968 -35.38209199934337),149.051147
-35.382088,Boddington Cr after Barritt St,1280,POINT (149.0512850001969 -35.38208799934338),149.051285
-35.385033,Boddington Cr before Castley Cct,1281,POINT (149.05056800019642 -35.38503299934308),149.050568
-35.385777,Boddington Cr after 2nd Crozier Cct,1282,POINT (149.0504150001963 -35.38577699934301),149.050415
