,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Source,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury
,Waramanga,0,1,1,0,5,0,0,11,12,16,13,0,2,0,7,0,0,4,0,0,13,19,8,24,0,0,0,2,0,0,1,0,1,5,6,13,9,0,0,0,1,1,0,3,0,3,14,3,10,16,0,0
,Weston,0,5,0,0,12,2,2,9,24,26,32,0,3,0,2,1,0,4,0,2,17,42,30,42,0,3,0,7,1,0,2,0,4,9,32,24,40,0,2,0,13,4,1,8,0,5,10,27,46,35,0,5
Molonglo,,0,0,0,0,5,0,2,5,6,15,17,0,0,0,0,0,0,8,0,0,5,9,13,13,0,1,0,1,0,3,7,0,2,23,4,53,34,0,0,0,0,0,0,10,0,1,8,10,32,19,0,0
,Coombs,0,0,0,0,2,0,0,1,1,8,4,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,5,0,0,2,4,10,10,0,0
,Denman Prospect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Molonglo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,Wright,0,0,0,0,3,0,2,4,5,7,13,0,0,0,0,0,0,3,0,0,5,9,13,10,0,1,0,1,0,3,7,0,2,23,3,35,31,0,0,0,0,0,0,5,0,1,6,5,17,9,0,0
Woden,,0,49,39,1,24,3,22,113,169,142,242,0,19,0,40,4,3,67,4,26,148,172,144,326,0,11,0,35,5,7,42,6,24,129,183,217,286,0,14,0,58,8,3,84,3,13,126,206,107,331,2,6
,Chifley,0,2,1,0,4,0,1,8,7,10,9,0,1,0,1,1,0,6,0,2,4,13,13,16,0,1,0,2,0,0,3,0,0,12,12,16,10,0,1,0,2,0,0,6,0,1,4,9,14,13,0,0
,Curtin,0,1,0,0,2,0,1,5,19,25,15,0,5,0,2,1,0,6,0,2,9,13,16,24,0,1,0,2,1,0,5,0,0,9,15,44,22,0,1,0,6,1,0,8,1,1,10,14,22,43,0,0
